frame,pan,tilt
846,80.21,7.98
847,80.21,7.98
848,80.23,7.98
849,80.23,7.98
850,80.26,7.98
851,80.28,7.98
852,80.28,7.98
853,80.28,7.98
854,80.3,7.98
855,80.32,7.97
856,80.32,7.97
857,80.34,7.97
858,80.34,7.97
859,80.36,7.97
860,80.38,7.97
861,80.38,7.97
862,80.41,7.97
863,80.41,7.97
864,80.41,7.97
865,80.42,7.96
866,80.43,7.96
867,80.43,7.96
868,80.43,7.96
869,80.44,7.96
870,80.44,7.96
871,80.45,7.96
872,80.45,7.96
873,80.45,7.96
874,80.47,7.96
875,80.47,7.96
876,80.47,7.96
877,80.47,7.96
878,80.48,7.96
879,80.48,7.96
880,80.49,7.96
881,80.49,7.96
882,80.49,7.96
883,80.49,7.96
884,80.5,7.96
885,80.5,7.96
886,80.5,7.96
887,80.5,7.96
888,80.5,7.96
889,80.51,7.96
890,80.51,7.96
891,80.51,7.96
892,80.51,7.96
893,80.51,7.96
894,80.51,7.96
895,80.51,7.96
896,80.51,7.96
897,80.51,7.96
898,80.52,7.96
899,80.52,7.96
900,80.52,7.96
901,80.52,7.96
902,80.52,7.96
903,80.52,7.96
904,80.52,7.96
905,80.52,7.96
906,80.52,7.96
907,80.52,7.96
908,80.52,7.96
909,80.52,7.96
910,80.52,7.96
911,80.52,7.96
912,80.52,7.96
913,80.52,7.96
914,80.52,7.96
915,80.52,7.96
916,80.52,7.96
917,80.52,7.96
918,80.52,7.96
919,80.52,7.96
920,80.52,7.96
921,80.52,7.96
922,80.52,7.96
923,80.52,7.96
924,80.52,7.96
925,80.52,7.96
926,80.52,7.96
927,80.52,7.96
928,80.52,7.96
929,80.52,7.96
930,80.52,7.96
931,80.52,7.96
932,80.52,7.96
933,80.52,7.96
934,80.52,7.96
935,80.52,7.96
936,80.52,7.96
937,80.52,7.96
938,80.52,7.96
939,80.52,7.96
940,80.52,7.96
941,80.52,7.96
942,80.52,7.96
943,80.52,7.96
944,80.52,7.96
945,80.53,7.96
946,80.53,7.96
947,80.53,7.96
948,80.53,7.96
949,80.53,7.96
950,80.53,7.96
951,80.53,7.96
952,80.54,7.96
953,80.54,7.96
954,80.54,7.96
955,80.54,7.96
956,80.54,7.96
957,80.54,7.96
958,80.54,7.96
959,80.54,7.96
960,80.54,7.96
961,80.54,7.96
962,80.53,7.96
963,80.53,7.96
964,80.53,7.96
965,80.52,7.96
966,80.52,7.96
967,80.52,7.96
968,80.52,7.96
969,80.5,7.96
970,80.48,7.96
971,80.48,7.96
972,80.45,7.96
973,80.45,7.96
974,80.43,7.96
975,80.43,7.96
976,80.4,7.96
977,80.39,7.96
978,80.36,7.96
979,80.35,7.96
980,80.34,7.96
981,80.34,7.96
982,80.33,7.97
983,80.33,7.97
984,80.32,7.97
985,80.32,7.97
986,80.32,7.97
987,80.29,7.97
988,80.29,7.97
989,80.28,7.97
990,80.25,7.97
991,80.25,7.97
992,80.24,7.97
993,80.24,7.97
994,80.23,7.97
995,80.22,7.97
996,80.21,7.97
997,80.21,7.97
998,80.2,7.97
999,80.19,7.97
1000,80.19,7.97
1001,80.19,7.97
1002,80.18,7.97
1003,80.18,7.97
1004,80.17,7.97
1005,80.17,7.97
1006,80.17,7.97
1007,80.17,7.97
1008,80.16,7.97
1009,80.16,7.97
1010,80.16,7.97
1011,80.15,7.97
1012,80.15,7.97
1013,80.15,7.97
1014,80.15,7.97
1015,80.15,7.97
1016,80.14,7.97
1017,80.14,7.97
1018,80.14,7.97
1019,80.14,7.97
1020,80.14,7.97
1021,80.14,7.97
1022,80.13,7.97
1023,80.13,7.97
1024,80.13,7.97
1025,80.13,7.97
1026,80.13,7.97
1027,80.13,7.97
1028,80.13,7.97
1029,80.13,7.97
1030,80.13,7.97
1031,80.12,7.97
1032,80.12,7.97
1033,80.12,7.97
1034,80.12,7.97
1035,80.12,7.97
1036,80.12,7.97
1037,80.12,7.97
1038,80.12,7.97
1039,80.12,7.97
1040,80.12,7.97
1041,80.12,7.97
1042,80.12,7.97
1043,80.12,7.97
1044,80.12,7.97
1045,80.12,7.97
1046,80.12,7.97
1047,80.12,7.97
1048,80.12,7.97
1049,80.12,7.97
1050,80.12,7.97
1051,80.12,7.97
1052,80.12,7.97
1053,80.12,7.97
1054,80.12,7.97
1055,80.12,7.97
1056,80.12,7.97
1057,80.12,7.97
1058,80.12,7.97
1059,80.12,7.97
1060,80.12,7.97
1061,80.12,7.97
1062,80.12,7.97
1063,80.12,7.97
1064,80.12,7.97
1065,80.12,7.97
1066,80.12,7.97
1067,80.12,7.97
1068,80.12,7.97
1069,80.12,7.97
1070,80.12,7.97
1071,80.12,7.97
1072,80.12,7.97
1073,80.12,7.97
1074,80.12,7.97
1075,80.12,7.97
1076,80.12,7.97
1077,80.12,7.97
1078,80.12,7.97
1079,80.12,7.97
1080,80.12,7.97
1081,80.12,7.97
1082,80.12,7.97
1083,80.12,7.97
1084,80.12,7.97
1085,80.12,7.97
1086,80.12,7.97
1087,80.11,7.97
1088,80.11,7.97
1089,80.1,7.97
1090,80.1,7.97
1091,80.07,7.95
1092,80.04,7.93
1093,80.02,7.9
1094,79.99,7.88
1095,79.97,7.85
1096,79.97,7.85
1097,79.94,7.83
1098,79.9,7.8
1099,79.8,7.74
1100,79.75,7.7
1101,79.75,7.7
1102,79.75,7.7
1103,79.69,7.67
1104,79.69,7.67
1105,79.69,7.67
1106,79.64,7.63
1107,79.59,7.6
1108,79.59,7.6
1109,79.54,7.57
1110,79.48,7.53
